buffer,where,written,read,lifetime
"U (input)","GM","host, once per call","AIV stage 2 (DataCopy ub)","whole call"
"W, Qg (input)","GM","K1 solve, once per call","AIC stage 1 (qw/qg -> L0A)","whole call"
"Aqk, Kg (input)","GM","K1 pre_gram, once per call","AIC stage 3 (qa/qk)","whole call"
"Decay (input)","GM","K1 pre_gram","AIV stage 4 (DataCopy dec)","whole call"
"D1, D2 (bf16)","GM","AIC stage 1 Fixpipe","AIV stage 2 (DataCopy d1)","chunk-loop, one chunk"
"D3 (bf16)","GM","AIC stage 3 Fixpipe","AIV stage 4 (DataCopy d3)","chunk-loop, one chunk"
"D4 (fp32)","GM","AIC stage 3 Fixpipe","AIV stage 4 (four quarter loads)","chunk-loop, one chunk"
"VnewT (bf16)","GM","AIV stage 2 (DataCopy Vt)","AIC stage 3 (qv/vx -> L0A/L0B)","chunk-loop, one chunk"
"S16 (bf16)","GM","AIV (start-up + stage 4 quarters)","AIC stage 1 (qs -> L0B)","across chunks (whole call)"
"S32 (fp32)","GM","AIV, once at the end","host","whole call"
"Out (bf16)","GM","AIV stage 4 (first quarter)","host","whole call"
"H0 (fp32)","GM","host, once per call","AIV start-up (DataCopy state)","prologue"
"cf (L0C)","L0C","Mmad stages 1/3","Fixpipe stages 1/3","one head-step"
"l0a/l0b (L0A/L0B)","L0A/L0B","LoadData stages 1/3","Mmad stages 1/3","one head-step"
"lw/lg/ls/la/lv/lx/lk (L1)","L1","DataCopy (Nd2Nz)","LoadData stages 1/3","one head-step"
"ub/vf/sc/vt (UB)","UB","AIV stage 2","AIV stage 2/3 hand-off","stage2 phase, one head-step"
"d1/d1f/d2/d3/d3f/ob (UB)","UB","AIV stage 2/4","AIV stage 2/4","aliased phase pair (stage2|stage4)"
"vb/d4 (UB)","UB","AIV stage 4 quarter loads","AIV stage 4 recurrence","stage4 phase, one head-step"
"st (fp32 state, UB)","UB","prologue + stage 4","stage-4 recurrence + final publish","whole call, resident"
"dec (UB)","UB","AIV stage 4 (DataCopy)","AIV stage 4 Mul","one head-step"
"s16 (UB)","UB","AIV Cast","AIV MTE3 store to S16","one quarter"
